"zip";"individuals";"total_income";"average_income"
"32744";3450;109594;31.766376811594203
"32746";42130;2438088;57.870591027771184
"32750";22960;873343;38.03758710801394
"32751";20620;1337091;64.84437439379244
"32754";10920;357587;32.74606227106227
"32757";25660;1113094;43.378565861262665
"32759";2440;79790;32.700819672131146
"32763";20990;585542;27.89623630300143
"32764";2990;114006;38.129096989966555
"32765";57030;2550213;44.71704366123093
"32766";15900;837179;52.652767295597485
"32767";2510;49162;19.586454183266934
"32771";53500;1985465;37.1114953271028
"32773";28900;731765;25.320588235294117
"32776";11980;465746;38.876961602671116
"32778";20050;679991;33.914763092269325
"32779";28260;2236112;79.12639773531494
"32780";34260;1241899;36.24924109748979
"32784";10180;303933;29.85589390962672
"32789";22370;3810512;170.34027715690658
"32792";42520;1604609;37.73774694261524
"32796";17620;559978;31.78081725312145
"32798";2710;79277;29.25350553505535
"32801";13150;1068845;81.2809885931559
"32803";18810;1193324;63.44093567251462
"32804";16910;1423802;84.19881726788883
"32805";17580;295852;16.828896473265075
"32806";23100;1365418;59.10900432900433
"32807";29150;610113;20.930120068610634
"32808";43270;699880;16.174716893921886
"32809";25860;686960;26.5645784996133
"32810";29970;697293;23.266366366366366
"32811";34400;582922;16.945406976744184
"32812";30600;1112309;36.349967320261435
"32814";7980;746281;93.5189223057644
"32817";27350;897288;32.80760511882998
"32818";43060;822119;19.092405945192755
"32819";28810;1645245;57.10673377299549
"32820";9280;374636;40.370258620689654
"32821";22090;591575;26.78021729289271
"32822";54000;1088926;20.165296296296297
"32824";54840;1340641;24.446407731582788
"32825";55660;1558331;27.997323032698528
"32826";17440;485755;27.852924311926607
"32827";18390;1202967;65.4141924959217
"32828";61480;2213100;35.99707221860768
"32829";19310;574671;29.760279647850854
"32831";310;3355;10.82258064516129
"32832";34730;1451263;41.78701410883962
"32833";9960;344234;34.56164658634538
"32835";38080;1215634;31.92316176470588
"32836";21540;1987015;92.24767873723306
"32837";51310;1389838;27.087078542194504
"32839";46710;905743;19.390772853778635
"32901";18880;567370;30.05137711864407
"32903";12940;922283;71.27380216383308
"32904";33590;1324188;39.42208990771063
"32905";20650;546973;26.487796610169493
"32907";40230;1054384;26.208898831717622
"32908";14140;340084;24.05120226308345
"32909";35310;957652;27.121268762390258
"32920";8080;385601;47.72289603960396
"32922";12270;265024;21.599348003259983
"32925";1160;35086;30.24655172413793
"32926";19780;621203;31.40561172901921
"32927";24510;722831;29.49126886984904
"32931";11850;801058;67.5998312236287
"32934";17220;859642;49.921138211382114
"32935";35020;1028257;29.361993146773273
"32937";25210;1708320;67.7635858786196
"32940";45770;2615461;57.14356565435875
"32948";6470;134842;20.84111282843895
"32949";2450;119531;48.788163265306125
"32950";4420;203625;46.06900452488688
"32951";10170;777156;76.4165191740413
"32952";18780;1065637;56.74318423855165
"32953";21620;958477;44.332886216466235
"32955";37230;1642782;44.12522159548751
"32958";25230;880187;34.886523979389615
"32960";17000;621795;36.57617647058824
"32962";22680;657684;28.998412698412697
"32963";14470;5590673;386.3630269523151
"32966";17650;730498;41.38798866855524
"32967";23900;1029438;43.07271966527197
"32968";14600;598989;41.02664383561644
"32976";6850;211762;30.914160583941605
"33004";13410;417124;31.10544369873229
"33009";35300;1318309;37.34586402266289
"33010";35680;653586;18.3179932735426
"33012";59350;1267405;21.354759898904803
"33013";28310;568888;20.094948781349345
"33014";35470;1099965;31.01113617141246
"33015";57500;1498084;26.053634782608697
"33016";40710;1181086;29.012183738639155
"33018";52830;1488216;28.169903463940944
"33019";12460;1391987;111.71645264847513
"33020";36390;1032442;28.37158560043968
"33021";43040;1825284;42.40901486988847
"33023";62440;1310917;20.994827033952596
"33024";68120;2047850;30.06238990017616
"33025";64580;1828541;28.31435428925364
"33026";28370;1170128;41.24525907648925
"33027";57700;2435981;42.21804159445407
"33028";26590;1169135;43.96897329823242
"33029";44920;2047050;45.57101513802315
"33030";30210;591663;19.585004965243296
"33031";6130;273941;44.68858075040783
"33032";55030;1229664;22.345338906051246
"33033";59240;1240413;20.93877447670493
"33034";20010;304300;15.207396301849075
"33035";16010;365156;22.807995003123047
"33036";3060;450931;147.36307189542484
"33037";12470;2679154;214.84795509222133
"33040";29720;1980384;66.63472409152087
"33042";5820;547093;94.00223367697595
"33043";3940;178347;45.265736040609134
"33050";9110;496818;54.53545554335895
"33054";26640;452652;16.99144144144144
"33055";41100;834150;20.295620437956206
"33056";33390;674769;20.208715184186882
"33060";30320;984517;32.470877308707124
"33062";20510;2699541;131.6207215992199
